Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_28,0.0002050081803470727,0.6790237946518914,0.5071470960585247,232
latent_20,0.0001811891136717194,0.6001164844978251,0.5487775483073407,233
latent_33,0.00016877779419479326,0.5590020126026984,0.5718063828727826,234
latent_166,0.0001680397098996514,0.5565570230133842,0.5732059180198698,235
latent_84,0.00016429483581458223,0.5441517501224323,0.5803597860343377,236
latent_206,0.00016298597346178399,0.5398160335604175,0.5828811108382539,237
latent_243,0.00015932395291026402,0.5276853429770771,0.5899937683325482,238
latent_83,0.00015815108524024597,0.5238001583365689,0.5922900964291651,239
latent_184,0.0001559778592253002,0.516601259183061,0.5965686429275583,240
latent_200,0.00015426850910020158,0.5109389896814949,0.5999556298465951,241
latent_41,0.00014720216697484552,0.48753174166604085,0.6141624206687653,242
latent_217,0.0001467435538301006,0.4860125977241708,0.6150959934955182,243
latent_4,0.00013640445018153107,0.45176495952705426,0.6365233690392769,244
latent_167,0.00012447307471133418,0.41224390017236867,0.6621797445354112,245
latent_161,0.00011228290917025588,0.37186660798186894,0.689460597360168,246
latent_61,8.481981830227943e-05,0.2809046545897641,0.7551093233232578,247
latent_15,5.763073586792332e-05,0.19085518095114953,0.826256780675832,248
latent_71,4.433949055925081e-05,0.14683673365292382,0.8634377465914893,249
latent_249,3.699534389570981e-05,0.1225146137809099,0.8846949810892247,250
latent_2,2.5351115665863492e-05,0.08395234781318635,0.9194760485108429,251
latent_138,2.1333520383367447e-05,0.0706474599085476,0.9317910298612928,252
latent_195,2.0563638120295455e-05,0.06809788797568357,0.9341696792682993,253
latent_235,1.5816522121228718e-05,0.05237724143024607,0.9489712012830449,254
latent_1,2.3832927127461373e-06,0.007892292627903147,0.9921387790730045,255
latent_11,1.7251821482394006e-06,0.005712950539775304,0.9943033422299791,256
