Dimension,Cluster_0_Mean,Cluster_1_Mean,Difference,t_statistic,p_value,Cohens_d
latent_147,-0.134608354402688,-0.23923413218540923,0.10462577778272122,4.586422377665791,4.784261514685815e-06,0.2103192670747627
latent_226,-0.028575141758969688,-0.050763099090249106,0.02218795733127942,4.874394119733713,1.176180541475691e-06,0.2087362964084701
latent_64,0.039538134983092645,0.07039563260284698,-0.030857497619754336,-4.626776917273678,3.948629000576203e-06,0.20638341901054352
latent_32,0.07151049377728269,0.09253051244256227,-0.021020018665279583,-4.479304071233585,7.905265312722184e-06,0.2060147788610839
latent_70,0.01551263716381594,0.043143139169430605,-0.027630502005614666,-4.6445950040479635,3.6259872591535007e-06,0.2059957388237767
latent_182,0.019323832006826976,-2.752542462099729e-05,0.019351357431447974,4.6006265097216525,4.4724517269922105e-06,0.20587310707260342
latent_24,0.08566363673424116,0.1087580636602847,-0.02309442692604355,-4.5526568292996386,5.611321613522486e-06,0.20571510994632772
latent_102,-0.08139783869527248,-0.0030574791905693985,-0.07834035950470308,-4.6626438036204565,3.325033015661814e-06,0.20489316461494575
latent_192,-0.036188368237629435,-0.21078934751014233,0.1746009792725129,4.433158873126685,9.782315586817052e-06,0.20342907986379039
latent_240,-0.04649562472453338,-0.0668748217594484,0.020379197034915017,4.53835006761303,6.001613498801112e-06,0.20054338711656547
latent_195,0.040036782908382834,0.0749935019113523,-0.03495671900296947,-4.590812881997399,4.685721631141958e-06,0.19944993932918934
latent_130,-0.04623549439232289,-0.06573887262829181,0.01950337823596892,4.475311659639857,8.052961437778732e-06,0.19577329009457584
latent_189,-0.02077267745065395,-0.056156445923185055,0.03538376847253111,4.421815942150178,1.030512824779219e-05,0.19531806629914164
latent_104,-0.03661348050073924,-0.012091704113370105,-0.024521776387369132,-4.391802062968359,1.1820450573719911e-05,0.19426272747594553
latent_140,0.028923685085374663,-0.009031687422597863,0.037955372507972526,4.322044930827667,1.6206976789682593e-05,0.19393954510814523
latent_5,0.11836171131555176,0.15682318482263877,-0.03846147350708701,-4.333767420052299,1.5374664776870215e-05,0.19093602137110968
latent_180,0.022422329890645094,-0.00038615839822064087,0.022808488288865735,4.254104373169036,2.1943677900028067e-05,0.1886245588319047
latent_4,0.02579434459893733,0.04476173906797153,-0.018967394469034202,-4.293767158708551,1.839524092689182e-05,0.186938989477871
latent_93,-0.04728753341348072,-0.07827521362991104,0.030987680216430315,4.103170265642355,4.236503660527072e-05,0.18210551557220364
